sweet:matrElement/Silicon	silicon	odm:silicon	Silicon	silicon		info(label-label,rdf(sweet:matrElement/Silicon-silicon,rdfs:label,(silicon-silicon)@en)-rdf(odm:silicon-Silicon,skos:prefLabel,Silicon-Silicon^^xsd:string),downcase)	
sweet:matrElement/Sulfur	sulfur	odm:sulfur	Sulfur	sulfur		info(label-label,rdf(sweet:matrElement/Sulfur-sulfur,rdfs:label,(sulfur-sulfur)@en)-rdf(odm:sulfur-Sulfur,skos:prefLabel,Sulfur-Sulfur^^xsd:string),downcase)	
sweet:matrElement/Thorium	thorium	odm:thorium	Thorium	thorium		info(label-label,rdf(sweet:matrElement/Thorium-thorium,rdfs:label,(thorium-thorium)@en)-rdf(odm:thorium-Thorium,skos:prefLabel,Thorium-Thorium^^xsd:string),downcase)	
sweet:matrElement/Uranium	uranium	odm:uranium	Uranium	uranium		info(label-label,rdf(sweet:matrElement/Uranium-uranium,rdfs:label,(uranium-uranium)@en)-rdf(odm:uranium-Uranium,skos:prefLabel,Uranium-Uranium^^xsd:string),downcase)	
sweet:matrElementalMolecule/Ozone	ozone	odm:ozone	Ozone	ozon		info(label-label,rdf(sweet:matrElementalMolecule/Ozone-ozone,rdfs:label,(ozone-ozone)@en)-rdf(odm:ozone-Ozone,skos:prefLabel,Ozone-Ozone^^xsd:string),stem)	
sweet:matrEnergy/Ethanol	ethanol	odm:ethanol	Ethanol	ethanol		info(label-label,rdf(sweet:matrEnergy/Ethanol-ethanol,rdfs:label,(ethanol-ethanol)@en)-rdf(odm:ethanol-Ethanol,skos:prefLabel,Ethanol-Ethanol^^xsd:string),downcase)	
sweet:matrIsotope/Deuterium	deuterium	odm:deuterium	Deuterium	deuterium		info(label-label,rdf(sweet:matrIsotope/Deuterium-deuterium,rdfs:label,(deuterium-deuterium)@en)-rdf(odm:deuterium-Deuterium,skos:prefLabel,Deuterium-Deuterium^^xsd:string),downcase)	
sweet:matrMicrobiota/Enterococci	enterococci	odm:enterococci	Enterococci	enterococci		info(label-label,rdf(sweet:matrMicrobiota/Enterococci-enterococci,rdfs:label,(enterococci-enterococci)@en)-rdf(odm:enterococci-Enterococci,skos:prefLabel,Enterococci-Enterococci^^xsd:string),downcase)	
sweet:matrMicrobiota/Phytoplankton	phytoplankton	odm:phytoplankton	Phytoplankton	phytoplankton		info(label-label,rdf(sweet:matrMicrobiota/Phytoplankton-phytoplankton,rdfs:label,(phytoplankton-phytoplankton)@en)-rdf(odm:phytoplankton-Phytoplankton,skos:prefLabel,Phytoplankton-Phytoplankton^^xsd:string),downcase)	
sweet:matrOrganicCompound/Acenaphthene	acenaphthene	odm:acenaphthene	Acenaphthene	acenaphthen		info(label-label,rdf(sweet:matrOrganicCompound/Acenaphthene-acenaphthene,rdfs:label,(acenaphthene-acenaphthene)@en)-rdf(odm:acenaphthene-Acenaphthene,skos:prefLabel,Acenaphthene-Acenaphthene^^xsd:string),stem)	
