left	left_label	right	right_label	left_match_type	right_match_type	left_match_val	right_match_val	score	left_simscore	right_simscore	reciprocal_score	conditional_pr_equiv	pr_subClassOf	pr_superClassOf	pr_equivalentTo	pr_other	left_novel	right_novel	left_consistent	right_consistent	equiv_clique_size
http://sweetontology.net/matrPlant/Mushroom		FAO:0000012	basidiocarp	label	hasRelatedSynonym	Mushroom	mushroom	50.0	1.0	1.0	4	1.0	0.07976909716325621	0.07976909716325621	0.767890593200731	0.07257121247275662	True	True	False	False	2
http://sweetontology.net/phenFluidDynamics/Cell		FAO:0000018	unicellular structure	label	hasExactSynonym	Cell	cell	90.0	1.0	1.0	2	0.5	0.05445002646272548	0.05445002646272548	0.8604293568567093	0.030670590217839588	True	True	False	False	3
http://sweetontology.net/realmAtmoBoundaryLayer/Cap		FAO:0000009	pileus	label	hasRelatedSynonym	Cap	cap	12.0	1.0	1.0	4	1.0	0.07976909716325621	0.07976909716325621	0.767890593200731	0.07257121247275662	True	True	False	False	2
http://sweetontology.net/reprDataModel/Cell		FAO:0000018	unicellular structure	label	hasExactSynonym	Cell	cell	90.0	1.0	1.0	0	0.5	0.05548836844776573	0.05548836844776573	0.8577677960078096	0.0312554670966589	True	True	False	False	3

